codigo_inep;nome_curso;grau;turno;campus;area_conhecimento;area_conhecimento_vestibular;modalidade;unidade_responsavel;unidade_coordenacao
13395;ADMINISTRAÇÃO;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENAÇÃO DE ADMINISTRAÇÃO
13395;ADMINISTRAÇÃO;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENAÇÃO DE ADMINISTRAÇÃO
13455;ADMINISTRAÇÃO;BACHARELADO;Matutino e Vespertino;Bananeiras;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS (CCHSA);CCHSA - COORDENAÇÃO DE ADMINISTRAÇÃO
13455;ADMINISTRAÇÃO;BACHARELADO;Noturno;Bananeiras;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS (CCHSA);CCHSA - COORDENAÇÃO DE ADMINISTRAÇÃO
1440696;ADMINISTRAÇÃO;BACHARELADO;Matutino e Vespertino;Litoral Norte (Mamanguape e Rio Tinto);Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO (CCAE);CCAE - COORDENAÇÃO DE ADMINISTRAÇÃO
1203263;ADMINISTRAÇÃO PÚBLICA;BACHARELADO;Matutino e Vespertino;UFPB VIRTUAL;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;A Distância;CENTRO DE TECNOLOGIA E DESENVOLVIMENTO REGIONAL (CTDR);CCSA - COORDENAÇÃO DE ADMINISTRAÇÃO
1167933;AGROECOLOGIA;BACHARELADO;Matutino e Vespertino;Bananeiras;Ciências Agrárias;Área I - CIÊNCIAS AGRÁRIAS;Presencial;CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS (CCHSA);CCHSA - COORDENAÇÃO DE AGROECOLOGIA
80589;AGROINDÚSTRIA;BACHARELADO;Matutino e Vespertino;Bananeiras;Ciências Agrárias;Área I - CIÊNCIAS AGRÁRIAS;Presencial;CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS (CCHSA);CCHSA - COORDENAÇÃO DE AGROINDÚSTRIA
13454;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Areia;Ciências Agrárias;Área I - CIÊNCIAS AGRÁRIAS;Presencial;CENTRO DE CIÊNCIAS AGRÁRIAS (CCA);CCA - COORDENAÇÃO DE AGRONOMIA
107348;ANTROPOLOGIA;BACHARELADO;Noturno;Litoral Norte (Mamanguape e Rio Tinto);Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO (CCAE);CCAE - COORDENAÇÃO DE ANTROPOLOGIA E CULTURAS INDÍGENAS
13427;ARQUITETURA E URBANISMO;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA (CT);CT - COORDENAÇÃO DE ARQUITETURA E URBANISMO
113621;ARQUIVOLOGIA;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENAÇÃO DE ARQUIVOLOGIA
107438;ARTES VISUAIS;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO  DE ARTES VISUAIS
107440;ARTES VISUAIS;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO  DE ARTES VISUAIS
13396;BIBLIOTECONOMIA;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENACÃO DE BIBLIOTECONOMIA E DOCUMENTAÇÃO
13396;BIBLIOTECONOMIA;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENACÃO DE BIBLIOTECONOMIA E DOCUMENTAÇÃO
13396;BIBLIOTECONOMIA;BACHARELADO;Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENACÃO DE BIBLIOTECONOMIA E DOCUMENTAÇÃO
1399139;BIOMEDICINA;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS DA SAÚDE (CCS);CCS - COORDENAÇÃO DE BIOMEDICINA
1189062;BIOTECNOLOGIA;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Exatas e da Terra;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE BIOTECNOLOGIA;CBIOTEC - COORDENAÇÃO DE BIOTECNOLOGIA
